City_names,Years,Asian_num,Asian_per,Latino_num,Latino_per,States,Black_num,A2B,L2B
Amarillo,1970,116,0.091331391,NA,NA,TX,,,
Garland,1970,75,0.09209573,NA,NA,TX,,,
Lubbock,1970,145,0.097249515,NA,NA,TX,,,
Fort Worth,1970,422,0.107249235,NA,NA,TX,,,
Waco,1970,103,0.10805027,NA,NA,TX,,,
Irving,1970,109,0.112070738,NA,NA,TX,,,
Pasadena,1970,104,0.11649137,NA,NA,TX,,,
Plano,1970,24,0.134288272,NA,NA,TX,,,
Arlington,1970,126,0.139006873,NA,NA,TX,,,
Abilene,1970,143,0.159503865,NA,NA,TX,,,
Dallas,1970,1381,0.163547888,NA,NA,TX,,,
Wichita Falls,1970,191,0.195768931,NA,NA,TX,,,
Corpus Christi,1970,433,0.21171006,NA,NA,TX,,,
Austin,1970,622,0.247013598,NA,NA,TX,,,
San Antonio,1970,1661,0.253916133,NA,NA,TX,,,
El Paso,1970,1124,0.348785612,NA,NA,TX,,,
Houston,1970,4461,0.361858595,NA,NA,TX,,,
Galveston,1970,242,0.391528742,NA,NA,TX,,,
Abilene,1990,1399,1.311718267,16549,15.51653009,TX,7474,0.187182231736687,2.21420925876371
Abilene,.Sample,1358,1.273144893,16099,15.09304833,TX,,,
Abilene,1980,709,0.721151401,12427,12.63998373,TX,6584,0.107685297691373,1.88745443499392
Abilene,.Sample,1032,1.049719261,12281,12.49186264,TX,,,
Abilene,.15% sample,NA,NA,8162,9.120470215,TX,,,
